i,j,delta,beta,priority,integral,max_delta,pi
1,3,300,0.15,0.05,2059.4,0.89491,0.17478
1,3,300,0.17,0.05,1965.2,0.89564,0.1741
1,3,300,0.19,0.05,1890.2,0.89574,0.17401
1,3,300,0.2,0.05,1860.9,0.89566,0.17408
1,3,360,0.01,0.05,2930.7,1.0933,-0.0081968
1,3,360,0.02,0.05,2914.3,1.1036,-0.017641
1,3,360,0.03,0.05,2893.4,1.114,-0.02729
1,3,360,0.04,0.05,2866.4,1.1247,-0.03715
1,3,360,0.05,0.05,2834.5,1.128,-0.040168
1,3,360,0.06,0.05,2811.1,1.1027,-0.01687
1,3,360,0.07,0.05,2756.4,1.0774,0.0064914
1,3,360,0.09,0.05,2577.3,1.0271,0.052913
1,3,360,0.1,0.05,2339.5,0.89484,0.17484
1,3,360,0.11,0.05,2274.7,0.89484,0.17484
1,3,360,0.12,0.05,2212.6,0.89484,0.17484
1,3,360,0.14,0.05,2093.6,0.89484,0.17484
1,3,360,0.15,0.05,2041.5,0.89491,0.17478
1,3,360,0.16,0.05,1995,0.89532,0.1744
1,3,360,0.17,0.05,1956,0.89564,0.1741
1,3,360,0.18,0.05,1922.7,0.89577,0.17398
1,3,360,0.2,0.05,1867.6,0.89566,0.17408
1,3,420,0.02,0.05,2905.2,1.1036,-0.017641
1,3,420,0.03,0.05,2876.8,1.114,-0.02729
1,3,420,0.05,0.05,2794.7,1.128,-0.040168
1,3,420,0.06,0.05,2761.3,1.1027,-0.01687
1,3,420,0.09,0.05,2507.4,1.0271,0.052913
1,3,420,0.1,0.05,2265.1,0.89874,0.17124
1,3,420,0.11,0.05,2198,0.90029,0.16982
1,3,420,0.12,0.05,2136.7,0.90383,0.16655
1,3,420,0.13,0.05,2076.4,0.89914,0.17087
1,3,420,0.14,0.05,2017.1,0.90359,0.16677
1,3,420,0.15,0.05,1967.8,0.89931,0.17072
1,3,420,0.17,0.05,1892.6,0.90193,0.1683
1,3,420,0.18,0.05,1864.7,0.89932,0.1707
1,3,420,0.2,0.05,1816.6,0.89639,0.17341
1,3,480,0.01,0.05,2927.5,1.0945,-0.0093042
1,3,480,0.02,0.05,2906.9,1.1048,-0.018808
1,3,480,0.03,0.05,2877.8,1.1153,-0.028445
1,3,480,0.05,0.05,2784.8,1.128,-0.040168
1,3,480,0.06,0.05,2726.8,1.1027,-0.01687
1,3,480,0.07,0.05,2648.3,1.0774,0.0064914
1,3,480,0.1,0.05,2260.6,0.90586,0.16467
1,3,480,0.11,0.05,2195,0.90544,0.16506
1,3,480,0.12,0.05,2130.5,0.90423,0.16617
1,3,480,0.13,0.05,2066,0.90329,0.16704
1,3,480,0.14,0.05,2000.7,0.90266,0.16762
1,3,480,0.15,0.05,1935.3,0.90233,0.16793
1,3,480,0.16,0.05,1870.5,0.90231,0.16795
1,3,480,0.17,0.05,1827.6,0.90261,0.16767
1,3,480,0.18,0.05,1798.6,0.90328,0.16706
1,3,540,0.01,0.05,2927,1.0934,-0.0082859
1,3,540,0.02,0.05,2906.1,1.1036,-0.017641
1,3,540,0.03,0.05,2875.6,1.114,-0.02729
1,3,540,0.05,0.05,2768.8,1.1279,-0.040051
1,3,540,0.06,0.05,2689.9,1.1027,-0.01687
1,3,540,0.07,0.05,2610.1,1.0774,0.0064914
1,3,540,0.1,0.05,2253.5,0.90392,0.16647
1,3,540,0.12,0.05,2158.2,0.90659,0.164
1,3,540,0.14,0.05,2056.8,0.90212,0.16812
1,3,540,0.15,0.05,2003,0.90775,0.16294
1,3,540,0.17,0.05,1906.4,0.90586,0.16468
1,3,540,0.18,0.05,1864.2,0.90479,0.16566
1,3,540,0.19,0.05,1822.1,0.9037,0.16667
1,3,600,0.01,0.05,2925.2,1.0933,-0.0081968
1,3,600,0.02,0.05,2902.2,1.1036,-0.017641
1,3,600,0.03,0.05,2868.4,1.114,-0.02729
1,3,600,0.06,0.05,2637.4,1.1027,-0.01687
1,3,600,0.07,0.05,2557.6,1.0774,0.0064914
1,3,600,0.09,0.05,2421.6,1.0271,0.052913
1,3,600,0.1,0.05,2205.3,0.89596,0.1738
1,3,600,0.11,0.05,2159.7,0.89484,0.17484
1,3,600,0.16,0.05,1968.7,0.89532,0.1744
1,3,600,0.17,0.05,1939.7,0.89564,0.1741
1,3,660,0.01,0.05,2923.1,1.094,-0.008852
1,3,660,0.02,0.05,2897.5,1.1043,-0.018329
1,3,660,0.03,0.05,2858.9,1.1147,-0.027934
1,3,660,0.04,0.05,2797.1,1.1254,-0.037749
1,3,660,0.06,0.05,2574.5,1.1027,-0.01687
1,3,660,0.07,0.05,2494.3,1.0774,0.0064914
1,3,660,0.09,0.05,2356.5,1.0271,0.052913
1,3,660,0.1,0.05,2147,0.89596,0.1738
1,3,660,0.11,0.05,2102.3,0.89484,0.17484
1,3,660,0.12,0.05,2061,0.89484,0.17484
1,3,660,0.13,0.05,2022.3,0.89484,0.17484
1,3,660,0.14,0.05,1985.9,0.89484,0.17484
1,3,660,0.15,0.05,1951.9,0.89491,0.17478
1,3,660,0.17,0.05,1889.9,0.89564,0.1741
1,3,720,0.01,0.05,2921,1.0933,-0.0081968
1,3,720,0.02,0.05,2892.4,1.1036,-0.017641
1,3,720,0.03,0.05,2848.7,1.114,-0.02729
1,3,720,0.04,0.05,2776.4,1.1252,-0.03754
1,3,720,0.05,0.05,2647.3,1.1276,-0.039753
1,3,720,0.06,0.05,2510.2,1.1027,-0.01687
1,3,720,0.07,0.05,2431.4,1.0774,0.0064914
1,3,720,0.09,0.05,2289.7,1.0271,0.052913
1,3,720,0.1,0.05,2086.5,0.90537,0.16512
1,3,720,0.11,0.05,2041.9,0.89484,0.17484
1,3,720,0.12,0.05,2000.8,0.89484,0.17484
1,3,720,0.13,0.05,1962.5,0.89484,0.17484
1,3,720,0.14,0.05,1926.9,0.89484,0.17484
1,3,720,0.16,0.05,1863.8,0.89532,0.1744
1,3,720,0.18,0.05,1809.6,0.89577,0.17398
1,3,720,0.19,0.05,1789.8,0.89574,0.17401
1,3,720,0.2,0.05,1771.6,0.89566,0.17408
1,4,60,0.01,0.05,3001.8,1.1077,-0.021427
1,4,60,0.04,0.05,3182.2,1.1841,-0.091873
1,4,60,0.05,0.05,3247.4,1.1992,-0.10581
1,4,60,0.07,0.05,3251.8,1.1486,-0.059154
1,4,60,0.08,0.05,3175,1.1234,-0.035926
1,4,60,0.09,0.05,3025.2,1.0982,-0.012732
1,4,60,0.1,0.05,2542.3,0.78464,0.27645
1,4,60,0.11,0.05,2515.1,0.78477,0.27634
1,4,60,0.12,0.05,2485.2,0.78705,0.27423
1,4,60,0.13,0.05,2458.4,0.78463,0.27647
1,4,60,0.15,0.05,2415.6,0.78596,0.27524
1,4,60,0.16,0.05,2397.3,0.78502,0.27611
1,4,60,0.17,0.05,2380.5,0.78665,0.2746
1,4,60,0.18,0.05,2364.9,0.78479,0.27632
1,4,60,0.19,0.05,2350.2,0.78524,0.2759
1,4,60,0.2,0.05,2336.2,0.78692,0.27436
1,4,120,0.01,0.05,2998.3,1.1077,-0.021445
1,4,120,0.02,0.05,3053.1,1.1326,-0.044422
1,4,120,0.03,0.05,3107.7,1.1581,-0.067897
1,4,120,0.05,0.05,3193.2,1.1992,-0.10581
1,4,120,0.06,0.05,3196,1.1739,-0.082515
1,4,120,0.09,0.05,2940.7,1.0982,-0.012732
1,4,120,0.11,0.05,2411.4,0.7845,0.27659
1,4,120,0.12,0.05,2363.5,0.7845,0.27659
1,4,120,0.13,0.05,2318.9,0.7845,0.27659
1,4,120,0.14,0.05,2279.7,0.7845,0.27659
1,4,120,0.15,0.05,2251.3,0.7845,0.27659
1,4,120,0.16,0.05,2225.6,0.7845,0.27659
1,4,120,0.18,0.05,2180.3,0.78479,0.27632
1,4,120,0.19,0.05,2159.5,0.78481,0.2763
1,4,120,0.2,0.05,2139.7,0.78472,0.27638
1,4,180,0.02,0.05,3043.5,1.1326,-0.044424
1,4,180,0.03,0.05,3087.6,1.1581,-0.0679
1,4,180,0.04,0.05,3112.3,1.1841,-0.091892
1,4,180,0.05,0.05,3131.9,1.1992,-0.10581
1,4,180,0.06,0.05,3123.3,1.1739,-0.082515
1,4,180,0.07,0.05,3068.6,1.1486,-0.059154
1,4,180,0.09,0.05,2794.7,1.0982,-0.012732
1,4,180,0.1,0.05,2319.5,0.7845,0.27659
1,4,180,0.11,0.05,2263.9,0.7845,0.27659
1,4,180,0.12,0.05,2205.1,0.7845,0.27659
1,4,180,0.13,0.05,2149.5,0.7845,0.27659
1,4,180,0.14,0.05,2099.9,0.7845,0.27659
1,4,180,0.15,0.05,2062.5,0.7845,0.27659
1,4,180,0.16,0.05,2026.9,0.7845,0.27659
1,4,180,0.17,0.05,1992.4,0.78456,0.27653
1,4,180,0.18,0.05,1958.6,0.78479,0.27632
1,4,180,0.2,0.05,1893,0.78472,0.27638
1,4,240,0.01,0.05,2984.3,1.1077,-0.021446
1,4,240,0.02,0.05,3023.7,1.1326,-0.044424
1,4,240,0.04,0.05,3070.6,1.1841,-0.091892
1,4,240,0.05,0.05,3077.6,1.1992,-0.10581
1,4,240,0.06,0.05,3045.1,1.1739,-0.082515
1,4,240,0.07,0.05,2967.7,1.1486,-0.059154
1,4,240,0.08,0.05,2873.1,1.1234,-0.035926
1,4,240,0.1,0.05,2231.7,0.7845,0.27659
1,4,240,0.13,0.05,2029.9,0.7845,0.27659
1,4,240,0.14,0.05,1968.2,0.7845,0.27659
1,4,240,0.15,0.05,1913.5,0.7845,0.27659
1,4,240,0.16,0.05,1865.5,0.7845,0.27659
1,4,240,0.17,0.05,1820.6,0.78456,0.27653
1,4,240,0.18,0.05,1777.9,0.78479,0.27632
1,4,240,0.2,0.05,1699.3,0.78472,0.27638
1,4,300,0.01,0.05,2974.5,1.1077,-0.021446
1,4,300,0.04,0.05,3044.7,1.1841,-0.091892
1,4,300,0.05,0.05,3040.2,1.1992,-0.10581
1,4,300,0.07,0.05,2916.8,1.1486,-0.059154
1,4,300,0.08,0.05,2810.7,1.1234,-0.035926
1,4,300,0.09,0.05,2620.9,1.0982,-0.012732
1,4,300,0.1,0.05,2152.6,0.7845,0.27659
1,4,300,0.11,0.05,2075.8,0.7845,0.27659
1,4,300,0.12,0.05,2000.4,0.7845,0.27659
1,4,300,0.13,0.05,1930.1,0.7845,0.27659
1,4,300,0.15,0.05,1819.4,0.7845,0.27659
1,4,300,0.17,0.05,1733.6,0.78456,0.27653
1,4,300,0.18,0.05,1697.7,0.78479,0.27632
1,4,300,0.2,0.05,1640.6,0.78472,0.27638
1,4,360,0.02,0.05,2984.4,1.1326,-0.044424
1,4,360,0.03,0.05,2998.1,1.1581,-0.0679
1,4,360,0.05,0.05,3004.2,1.1992,-0.10581
1,4,360,0.06,0.05,2951.2,1.1739,-0.082515
1,4,360,0.07,0.05,2843.6,1.1486,-0.059154
1,4,360,0.09,0.05,2523,1.0982,-0.012732
1,4,360,0.11,0.05,2021.2,0.7845,0.27659
1,4,360,0.13,0.05,1903.6,0.7845,0.27659
1,4,360,0.14,0.05,1851.8,0.7845,0.27659
1,4,360,0.15,0.05,1805.7,0.7845,0.27659
1,4,360,0.16,0.05,1764.7,0.7845,0.27659
1,4,360,0.17,0.05,1730.4,0.78456,0.27653
1,4,360,0.18,0.05,1701,0.78479,0.27632
1,4,360,0.19,0.05,1675.1,0.78481,0.2763
1,4,420,0.02,0.05,2975.2,1.1326,-0.044424
1,4,420,0.03,0.05,2981.3,1.1581,-0.0679
1,4,420,0.04,0.05,2977.1,1.1841,-0.091892
1,4,420,0.05,0.05,2961.7,1.1992,-0.10581
1,4,420,0.09,0.05,2455,1.0982,-0.012732
1,4,420,0.1,0.05,2015.2,0.7845,0.27659
1,4,420,0.11,0.05,1953.3,0.7845,0.27659
1,4,420,0.12,0.05,1894.5,0.78492,0.2762
1,4,420,0.13,0.05,1836.8,0.78461,0.27648
1,4,420,0.14,0.05,1782.1,0.78508,0.27605
1,4,420,0.15,0.05,1737.7,0.78672,0.27454
1,4,420,0.16,0.05,1699.1,0.7876,0.27373
1,4,420,0.17,0.05,1670.6,0.78474,0.27637
1,4,420,0.19,0.05,1623.9,0.78671,0.27455
1,4,420,0.2,0.05,1603.8,0.78749,0.27383
1,4,480,0.01,0.05,2961.6,1.1089,-0.022553
1,4,480,0.02,0.05,2975,1.1339,-0.045589
1,4,480,0.03,0.05,2979.4,1.1593,-0.069054
1,4,480,0.04,0.05,2971,1.1853,-0.093021
1,4,480,0.05,0.05,2945.9,1.1992,-0.10581
1,4,480,0.06,0.05,2856.7,1.1739,-0.082515
1,4,480,0.07,0.05,2728.4,1.1486,-0.059154
1,4,480,0.08,0.05,2610.8,1.1234,-0.035926
1,4,480,0.09,0.05,2434.7,1.0982,-0.012732
1,4,480,0.1,0.05,2015.4,0.78579,0.2754
