i,j,delta,beta,priority,integral,max_delta,pi,L_i,v_i,w_i,q_max_i,rho_max_i,L_j,v_j,w_j,q_max_j,rho_max_j
1,2,300,0.17,0.05,2059.8,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.18,0.05,2018.37,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.19,0.05,1981.73,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.2,0.05,1950.79,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.01,0.05,2909.19,1.08468,-0.000225571,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.02,0.05,2871.4,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.03,0.05,2829.17,1.08709,-0.00244022,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.04,0.05,2780.65,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.05,0.05,2728.97,1.08444,-2.04755e-16,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.06,0.05,2717.81,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.07,0.05,2683.7,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.08,0.05,2629.29,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.09,0.05,2555.86,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.1,0.05,2442.08,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.12,0.05,2313.26,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.13,0.05,2251.16,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.15,0.05,2136.02,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.16,0.05,2087.73,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.17,0.05,2047.06,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.18,0.05,2012.34,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.19,0.05,1981.68,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,360,0.2,0.05,1954.67,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.02,0.05,2862.28,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.04,0.05,2753.65,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.06,0.05,2671.93,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.07,0.05,2610.25,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.08,0.05,2557.06,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.09,0.05,2486.6,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.12,0.05,2233.92,0.942846,0.130569,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.14,0.05,2112.06,0.941764,0.131567,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.15,0.05,2060.61,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.16,0.05,2015.89,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.17,0.05,1982.03,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,420,0.19,0.05,1926.27,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.01,0.05,2906.59,1.08574,-0.0011971,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.02,0.05,2865.02,1.08706,-0.00241944,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.05,0.05,2685.27,1.08444,2.30218e-09,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.07,0.05,2576.04,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.08,0.05,2529.76,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.09,0.05,2468.13,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.12,0.05,2227.08,0.941831,0.131504,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.13,0.05,2161.59,0.942214,0.131152,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.15,0.05,2028.08,0.942038,0.131314,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.16,0.05,1961.51,0.941636,0.131684,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.17,0.05,1914.5,0.942779,0.130631,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.18,0.05,1883.72,0.944432,0.129106,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,480,0.2,0.05,1832.86,0.943206,0.130237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.03,0.05,2814.95,1.08709,-0.00244022,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.04,0.05,2750.3,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.05,0.05,2672.72,1.08437,6.29969e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.06,0.05,2610.08,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.07,0.05,2542.26,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.09,0.05,2451.13,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.1,0.05,2354.3,0.946481,0.127217,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.11,0.05,2304.06,0.944928,0.128649,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.12,0.05,2255.43,0.941802,0.131531,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.14,0.05,2149.81,0.947532,0.126248,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.15,0.05,2094.87,0.943705,0.129777,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.16,0.05,2040.12,0.943935,0.129565,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.17,0.05,1994.44,0.947556,0.126226,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.18,0.05,1950.48,0.943655,0.129822,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,540,0.2,0.05,1862.39,0.947336,0.126428,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.01,0.05,2905.37,1.08454,-8.96421e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.02,0.05,2862.7,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.03,0.05,2809.38,1.08709,-0.00244022,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.04,0.05,2738.57,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.05,0.05,2646.04,1.08399,0.000414443,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.06,0.05,2559.45,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.07,0.05,2491.92,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.08,0.05,2452.44,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.09,0.05,2401.78,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.11,0.05,2259.84,0.941985,0.131363,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.12,0.05,2217.33,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.13,0.05,2177.18,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.14,0.05,2138.67,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.15,0.05,2101.96,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.16,0.05,2067.01,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.17,0.05,2036.81,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.18,0.05,2010.08,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.19,0.05,1979.3,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,600,0.2,0.05,1946.63,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.01,0.05,2903.68,1.08526,-0.00075532,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.02,0.05,2858.72,1.08656,-0.00195825,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.03,0.05,2801.03,1.08781,-0.00311127,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.04,0.05,2720.76,1.08909,-0.00428915,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.05,0.05,2604.98,1.08399,0.000414443,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.06,0.05,2495.38,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.07,0.05,2431.14,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.08,0.05,2390.6,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.1,0.05,2244.18,0.941207,0.13208,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.11,0.05,2198.91,0.941985,0.131363,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.12,0.05,2157.35,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.16,0.05,2014.42,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.17,0.05,1983.95,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.18,0.05,1958.1,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.19,0.05,1937.36,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,660,0.2,0.05,1918.4,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.01,0.05,2901.92,1.08454,-8.96421e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.02,0.05,2854.34,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.03,0.05,2791.88,1.08709,-0.00244022,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.04,0.05,2701.41,1.08883,-0.00404431,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.05,0.05,2557.95,1.08399,0.000414443,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.08,0.05,2328.75,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.09,0.05,2274.19,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.11,0.05,2134.82,0.941985,0.131363,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.12,0.05,2093.37,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.13,0.05,2054.67,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.15,0.05,1984.88,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.17,0.05,1925.38,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.18,0.05,1898.95,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,720,0.19,0.05,1878.85,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,3,60,0.01,0.05,2963.58,1.09331,-0.00817804,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.02,0.05,2984.04,1.10355,-0.017624,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.07,0.05,3166.08,1.0774,0.00649143,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.08,0.05,3164.83,1.05221,0.0297191,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.09,0.05,3113.29,1.02706,0.052913,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.1,0.05,2883.68,0.898519,0.171444,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.11,0.05,2855.26,0.897616,0.172277,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.12,0.05,2823.47,0.898495,0.171466,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.13,0.05,2790.98,0.899513,0.170527,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.14,0.05,2762.9,0.900464,0.16965,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.15,0.05,2738.15,0.899012,0.17099,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.16,0.05,2715.75,0.89764,0.172255,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.17,0.05,2695.28,0.896591,0.173222,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,60,0.2,0.05,2642.11,0.895715,0.17403,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.01,0.05,2960.12,1.09333,-0.00819658,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.02,0.05,2976.55,1.10357,-0.0176402,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.03,0.05,2992.69,1.11403,-0.0272888,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.04,0.05,3008.11,1.12473,-0.037149,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.05,0.05,3020.3,1.128,-0.0401679,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.06,0.05,3064.63,1.10273,-0.01687,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.07,0.05,3085.12,1.0774,0.00649143,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.08,0.05,3068.94,1.05221,0.0297191,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.09,0.05,3007.59,1.02706,0.052913,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.1,0.05,2763.95,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.11,0.05,2715.95,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.12,0.05,2664.18,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.15,0.05,2531.26,0.894906,0.174776,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.16,0.05,2500.62,0.895317,0.174397,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.17,0.05,2472.59,0.895636,0.174103,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.18,0.05,2446.58,0.895768,0.173981,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,120,0.2,0.05,2398.78,0.895661,0.17408,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.01,0.05,2956.86,1.09333,-0.00819667,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.05,0.05,2963.23,1.128,-0.0401679,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.06,0.05,2986.22,1.10273,-0.01687,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.09,0.05,2858.71,1.02706,0.052913,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.11,0.05,2548.76,0.894926,0.174758,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.12,0.05,2485.02,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.13,0.05,2420.86,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.16,0.05,2275.57,0.895317,0.174397,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.17,0.05,2232.85,0.895636,0.174103,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.18,0.05,2192.28,0.895768,0.173981,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.19,0.05,2154.46,0.895738,0.174009,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,180,0.2,0.05,2118.76,0.895661,0.17408,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.02,0.05,2951.49,1.10357,-0.0176407,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.07,0.05,2881.76,1.0774,0.00649143,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.1,0.05,2505.1,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.11,0.05,2432.92,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.14,0.05,2213.41,0.894838,0.174838,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.15,0.05,2152.93,0.894906,0.174776,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.17,0.05,2050.61,0.895636,0.174103,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.18,0.05,2004.19,0.895768,0.173981,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,240,0.2,0.05,1919.48,0.895661,0.17408,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,300,0.01,0.05,2939.13,1.09333,-0.00819681,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,300,0.03,0.05,2923.47,1.11403,-0.0272897,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,300,0.04,0.05,2910.03,1.12473,-0.0371503,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,300,0.06,0.05,2862.06,1.10273,-0.01687,0.61,103,29,1806,79,0.34,103,35,1805,69
1,3,300,0.07,0.05,2826.56,1.0774,0.00649143,0.61,103,29,1806,79,0.34,103,35,1805,69
