rho0;rho1;rho2;rho3;rho4;rho5;rho6;rho7;rho8;rho9;rho10;rho11;rho12
16.803593276566318;16.790025823706372;16.76984800024384;16.737527029408355;16.720095461357957;16.701358591456003;16.505517184723747;17.838521297055706;17.80933693264228;15.425532181313162;16.331596749337077;16.141193770892905;0.0
16.820487140471915;16.80690321071814;16.78682770462816;16.754651823626745;16.737293272748676;16.718651580702428;16.522777767156416;17.857390476194233;17.828318633073778;15.44202921841104;16.34988154835698;16.159381994209763;0.0
16.837380694804306;16.823801094349044;16.803721308609106;16.771699744116177;16.754419046124546;16.735856726587407;16.53997280024532;17.87618400429433;17.84722714892448;15.4584636359734;16.368112103639174;16.17752702609107;0.0
16.854274084764036;16.840693592499914;16.820618513929478;16.788665902258007;16.771468010618204;16.752988616482796;16.557831758995334;17.894176298682037;17.8660608759943;15.474834265844475;16.38628542691168;16.195623126517503;0.0
16.87121292478819;16.857587200026536;16.837511758151333;16.805595526754722;16.78843527919004;16.77004397128519;16.583998555123998;17.90417201778632;17.88434732977494;15.491139621772117;16.404400019190295;16.213666071035757;0.0
16.88822143456422;16.874537075031974;16.854405308095334;16.822505875694286;16.80536540849236;16.78701802786404;16.61843607415589;17.909725195066475;17.897241435798602;15.506794462880153;16.422455249241747;16.231653128629475;0.0
16.905221399226722;16.89155988942595;16.871346255762603;16.839407323931468;16.82227602268583;16.803951542243226;16.661104891811238;17.91281029355545;17.90536095402161;15.51604287553909;16.440212416250624;16.24958271612651;0.0
16.92221682672967;16.908554279637055;16.888356094547934;16.85632970036463;16.839177593838137;16.820863921146348;16.711985347795476;17.914524237160435;17.91020605290541;15.522129122685241;16.455178548498264;16.26732525489306;0.0
16.939118770476682;16.925549960199124;16.905352933307572;16.873298417447348;16.85609969127328;16.837766325154004;16.771067192795822;17.915476428052095;17.91301462803063;15.525516577779893;16.467206368339564;16.283476009538987;0.0
16.955925540243996;16.942429035785942;16.92234879744017;16.89028203438975;16.873067783188308;16.854686904995273;16.838345589645456;17.916005422991905;17.9146157987763;15.527540723324972;16.47639886717061;16.297316423306913;0.0
16.972590701240666;16.959218165727723;16.939246383629833;16.907272140326956;16.89005119194069;16.871651335585618;16.91382935242565;17.916299309069576;17.915519619404336;15.528654667939916;16.483362874528254;16.308575203677215;0.0
16.989180672880973;16.975853083092858;16.956052703532468;16.924213226027554;16.907041208068904;16.888633281863147;16.997539745859353;17.916462579112725;17.91602673463376;15.529295790476136;16.48864171138349;16.31745651863518;0.0
17.005639646893997;16.99243208971334;16.972714787639656;16.9410829080389;16.92398294992466;16.905622676121148;17.089485263900333;17.916553284692256;17.91631021071764;15.529648574490862;16.492734033371278;16.324346551834555;0.0
17.021937991019307;17.008861780409084;16.98930696177029;16.95784259733354;16.94085359825576;16.92256809011543;17.189669518328195;17.916603676680882;17.916468307611698;15.52984819171742;16.496008393449276;16.329690178912372;0.0
17.038059971552144;17.025128081047406;17.00576240555947;16.97451353116577;16.957614775506826;16.939444499958206;17.298071181613928;17.916631672230118;17.916556352534744;15.529958285560173;16.498736179958335;16.33388874242594;0.0
17.0539972344398;17.041214853052093;17.02205868476909;16.991070290746794;16.974286919499846;16.956214557140175;17.41465679129234;17.916647225313028;17.916605340954497;15.530020059749118;16.50110218115469;16.33727132797841;0.0
17.0697453439694;17.057115641493326;17.038178662981093;17.0074890386084;16.990845226381413;16.972894246414782;17.53937477333301;17.916655865914645;17.916632582813705;15.530054208169375;16.50323109413419;16.340087400039092;0.0
17.08525640759031;17.072826503269123;17.054114192284686;17.02374948773591;17.00726584572413;16.989461907136672;17.672181305257315;17.916660666248877;17.91664772629399;15.530073285282736;16.505203986470455;16.342517762155214;0.0
17.10055053335624;17.088288823861905;17.069860663129433;17.039837782841484;17.023528442728086;17.005893857625097;17.81302206060137;17.916663333101226;17.91665614252481;15.53008384944115;16.507073031366083;16.344688429567764;0.0
17.115683935288423;17.103541916590366;17.085368020608556;17.05574496735619;17.03961907521544;17.022169505166385;17.96183122884706;17.916664814685866;17.91666081932248;15.530089737110272;16.508871045273285;16.346684894744175;0.0
17.13059538640542;17.118646118593986;17.100661413469066;17.071440309357186;17.055528719760435;17.038274395086212;18.118533013367482;17.916665637788444;17.91666341793281;15.530093001370734;16.510618525554445;16.34856376586448;0.0
17.145343451980292;17.13351054594396;17.11579560160523;17.086922684478193;17.07122693555033;17.05419908542174;18.283044607971437;17.916666095067654;17.916664861741353;15.530094818202064;16.51232802585138;16.35036186063493;0.0
17.159868153464945;17.148230223742782;17.130702785158245;17.102220577811963;17.08671220508644;17.069914753551174;18.4552786277381;17.91666634911166;17.9166656639048;15.530095826277831;16.514007736479435;16.35210270527151;0.0
17.174228719007342;17.16270735854209;17.145452182006345;17.117311459276298;17.102012611127904;17.085417777817593;18.635133710674875;17.91666649024722;17.916666109567796;15.53009638692789;16.51607382111651;16.353260067395983;0.0
17.188365522023023;17.177039485690894;17.15997246945064;17.13222141010549;17.11710630230879;17.100733797808292;18.82250673852427;17.916666568655863;17.916666357164168;15.530096698159003;16.518999396954243;16.35352198845439;0.0
17.202474589562314;17.19112863716685;17.17433441939138;17.14692490348281;17.13201871708906;17.11584462185445;19.017307026538653;17.916666612216222;17.916666494719742;15.53009687117622;16.52271570147737;16.35346523397986;0.0
17.216614467864144;17.20524256345589;17.188466808532503;17.16144743505988;17.146725012094386;17.130772326237647;19.219435068210068;17.91666663641642;17.91666657114022;15.530096967251609;16.527120377828624;16.35339960505385;0.0
17.23081624295519;17.219388773045864;17.202583661123263;17.175763255366878;17.16125000793199;17.145495683255962;19.428802062572014;17.916666649860975;17.916666613596284;15.530097020647206;16.532179528365962;16.353378374912253;0.0
17.245050883099157;17.233604103971718;17.216725217724797;17.189973655536157;17.175568633274843;17.160035964991003;19.64530891462175;17.916666657330172;17.916666637183077;15.530097050302958;16.537896244309604;16.353378691802;0.0
17.259394048130062;17.247843454818653;17.23092885566134;17.204147579946806;17.18978048473955;17.174371671382;19.868866844914;17.916666661479724;17.916666650286878;15.53009706678213;16.54428023224687;16.353382062767075;0.0
17.27384037346068;17.262211946498304;17.245162546128686;17.218337247635063;17.20395491775054;17.18859306722275;20.099376647891145;17.916666663785033;17.91666665756678;15.530097075935645;16.55133838180809;16.353383548144258;0.0
