phi0;phi1;phi2;phi3;phi4;phi5;phi6;phi7;phi8;phi9;phi10;phi11;phi12
338.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.77;158.96520947176685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.62;243.2998789818215;197.74657699990317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.46;288.00831461420944;254.41312415132333;166.4043907760623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.3;311.6719011111877;296.20424272230485;240.46402752158423;88.16693544204945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.13;324.1614010453756;315.445411974176;287.36960077055664;168.85932476402516;86.98462021581506;0.0;0.0;0.0;0.0;0.0;0.0;0.0
337.96;330.7131573856594;326.2877655289291;310.9954876494194;231.65026318312363;167.76138811299552;80.28150432104793;0.0;0.0;0.0;0.0;0.0;0.0
337.78;334.1121773732599;331.79278196906455;323.8639894597911;273.6901712079614;230.79351581628282;161.02010674551568;39.309211155315374;0.0;0.0;0.0;0.0;0.0
337.62;335.83251312259614;334.67802021341384;330.53609426743134;300.2740358166983;273.114928702709;225.4167118914746;98.90399995654337;17.470760513473497;0.0;0.0;0.0;0.0
337.46;336.6709063301216;336.1141647743532;334.0215384866813;316.30794538678833;299.90983323087846;269.4392596652841;160.84996060264905;53.66331137706011;10.56767953010104;0.0;0.0;0.0
337.3;337.04101857054724;336.80672975314724;335.7824903464052;325.6932339119374;316.08804733105774;297.5617424363972;214.01986221523873;101.30182214398852;36.1541511077042;15.117652661116765;0.0;0.0
337.15;337.16248982388805;337.09817598735253;336.64439115436625;331.0388790392532;325.5644287279026;314.6603930112183;254.92549094876264;151.39872884232193;73.91450459466687;45.21153238331823;6.179040571805662;0.0
337.0;337.15663166423195;337.17817991444383;337.02625257428116;334.00887774221945;330.965466870327;324.72415357410796;284.1742188889481;197.41062311185118;117.41779775154006;86.27272874121974;22.13279714555881;3.368030500355287
336.85;337.0831659929392;337.1513747239629;337.15409992752257;335.60758971599705;333.9680657190332;330.48450545144277;304.02917749185127;235.97222123500535;160.4578509173817;130.82748024209465;48.34872156759482;13.596205191661188
336.7;336.9738030727537;337.06652569865565;337.15180665982126;336.4269855585234;335.5856037620148;333.69961931848405;316.98282206716914;266.21975734915907;198.8294377994456;173.21537162479697;82.06027769248959;32.538876591541154
336.54;336.8453799557517;336.95118233551676;337.08004245230444;336.8110214300958;336.4157026608691;335.4402680432481;325.16807119210677;288.78111944605246;230.53996562726502;209.8577162913082;119.3181137045041;59.53167383734113
336.38;336.702146187799;336.81956826406986;336.9716062429161;336.95355828857055;336.8057202205468;336.340534760228;330.19777209850366;304.9530979998544;255.27263259153412;239.44482298024639;156.32437984117402;92.1196704106375
336.21;336.5510484767639;336.6734997392401;336.8436657868608;336.963120733517;336.95157578574265;336.7698725954685;333.2055278274082;316.1729531548096;273.7010869319116;262.0873839519497;190.2982117591282;127.1159480876595
336.04;336.3910849380268;336.52117510113567;336.70047050168984;336.89982927515496;336.96296591620967;336.937573568571;334.95078138615713;323.7429863426312;286.93019880317104;278.7014312705063;219.64061150460682;161.55491780376406
335.87;336.2264139516116;336.35934796586736;336.5495928361908;336.7942019414774;336.90067593509247;336.9610091582375;335.9235986506159;328.7242285841983;296.1339571742123;290.473140379735;243.78054974225623;193.21588292372027
335.7;336.05924347339675;336.19398318967967;336.38950115609833;336.66459938054885;336.79562975365235;336.9053252694925;336.4315585978506;331.92394861371724;302.3645753264673;298.5712532940567;262.8652197250353;220.77733653550084
335.54;335.8907458515394;336.02637218995574;336.22497214840945;336.5188426052484;336.6663564928318;336.80408299232823;336.6635347459238;333.9273308288876;306.4781993162493;303.99781120153295;277.45935249332575;243.71832108325543
335.37;335.7262339084221;335.8576582665634;336.05784963435116;336.36313963686155;336.520820760829;336.6769698252303;336.732353096329;335.1434214586815;309.1280974330728;307.5461441989744;288.30642093358506;262.10965895876546
335.21;335.5591478766941;335.69417144423784;335.8893879441376;336.2013861890294;336.3652541346925;336.532853753247;336.70523511048026;335.8496132976359;310.7900711068946;309.80921618664297;296.170276077772;276.38881642931705
335.04;335.39538543908253;335.52620734451557;335.72511262150954;336.0360784769725;336.20358365190225;336.3781695174843;336.6208299261476;336.2298896589001;311.79824623528924;311.2123836420029;301.74492223338194;287.17116340751056
334.88;335.22869736883894;335.3634699500759;335.55773318090183;335.87131776137227;336.0383247149505;336.21703740140055;336.5020131535441;336.4036408887879;312.3807185263382;312.0504926296208;305.61455923769927;295.1149313209834
334.7;335.0651462350028;335.1958180676193;335.39426003731467;335.7051695525839;335.873557318221;336.0520964811106;336.36247700371865;336.4473618953462;312.68944535575906;312.5228991207582;308.2451193145561;300.8379989485434
334.53;334.89388001366723;335.03326735796355;335.22727047131286;335.5404386880123;335.7074276260695;335.8873157124939;336.2105016065847;336.40963527684505;312.8238201244829;312.76115276249556;309.9935769337577;304.8754230474182
334.35;334.7232076939599;334.8598748886094;335.0640162174323;335.3745110834853;335.5426780032736;335.721289969647;336.05225615938394;336.3211314233961;312.8479766662604;312.8508019053385;311.1247686415355;307.6651924613559
334.17;334.54816036937945;334.6898661802894;334.8922306220993;335.20999991474326;335.37676619543646;335.55644200785076;335.89020115122645;336.2016313060574;312.8028875979664;312.84676024387954;311.83025049142327;309.55091532686265
