v0;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12
103.0;103.0;103.0;103.0;103.0;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
161.25140446122978;103.0;103.0;103.0;103.0;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
123.17668998841948;114.86364430505384;103.0;103.0;103.0;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
112.02148190009243;109.800562331877;130.23756114660137;103.0;103.0;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
107.39997025039678;105.6893078900773;114.93783998556476;191.95965593871983;103.0;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
105.21921192295949;104.42298293184092;108.03151437420428;139.14416451602827;151.47463004116435;103.0;104.0;96.0;96.0;103.0;103.0;104.0;103.0
104.12850785130185;103.69848674911901;105.53235928516929;120.63986366285262;122.61283882495914;159.11770797503775;104.0;96.0;96.0;103.0;103.0;104.0;103.0
103.565357619594;103.36001043364227;104.2608157359782;112.44115613858065;112.5720962734066;125.31603642409448;265.00467001700736;96.0;96.0;103.0;103.0;104.0;103.0
103.27411156034407;103.17765249353685;103.64534309540645;108.19024565668452;108.12126533329476;113.89740926999777;170.51562144611913;319.73356272916;96.0;103.0;103.0;104.0;103.0
103.12070637300299;103.08530491460044;103.32264462436572;105.88405668573695;105.81585557542968;108.82407530579441;139.1050353391509;191.87479845732418;274.6846011982593;103.0;103.0;104.0;103.0
103.03957246412732;103.03582432603098;103.15709076846979;104.59535615810667;104.56496619562843;106.20640917835381;124.29801218697787;149.40936430274346;173.07867566952822;174.6632200967119;103.0;104.0;103.0
102.99809223757194;103.00982551321104;103.06942019386885;103.8720542879016;103.86598585765702;104.78464735912671;116.18479523443189;128.82249870330511;139.43590006566708;135.69526580854998;428.3212703384916;104.0;103.0
102.97607482709705;102.99670875830044;103.02321557433172;103.46524153759502;103.47357103864817;103.98984824879041;111.42008410147976;117.09639558222253;123.05174159679258;121.59186648474635;252.24487200838792;393.7146761134294;103.0
102.96437659946322;102.98958109053953;102.9995837274903;103.23731667082072;103.25282502882979;103.54284951585201;108.52481918099993;109.84372229591915;113.6483923703702;114.66394160426773;190.8545685183884;236.91435559216896;103.0
102.95815443776866;102.98583301849968;102.98697331761755;103.11095509076024;103.12912104105312;103.29106475770092;106.74233616635597;105.15269073462771;107.77007277993519;110.61551584955039;160.20779248524872;183.139574779258;103.0
102.95331072160383;102.9838290445514;102.98031240305335;103.04113458812873;103.06051714130508;103.14975805707681;105.64270198577945;102.0480882100635;103.9173726646344;108.07551430381162;142.0786393486574;156.2225342023295;103.0
102.95072639465033;102.98204606413125;102.97676375170632;103.0027584503144;103.02260549642162;103.07122855775766;104.96737072567035;99.9735433569386;101.32771537831105;106.40425900562722;130.38346268196574;140.24247541817485;103.0
102.94781179071396;102.98126897417703;102.97398332715565;102.98174301763527;103.00176454082161;103.02778667291999;104.55625105966169;98.58581126603964;99.5670609387891;105.28208506052201;122.4281508678074;129.84630615074906;103.0
102.94625043552593;102.98009146557243;102.9725758829063;102.96952513494728;102.99035046179192;103.00388115189868;104.30844290930736;97.66173225300356;98.36725646382308;104.52055741515339;116.84822322751558;122.69615678374261;103.0
102.9454078628378;102.97964646508095;102.97088806217506;102.96259624171188;102.9837239546761;102.99077887082623;104.16058814150902;97.05124518711747;97.55274195510755;104.00364551618942;112.86407004321124;117.60841890830433;103.0
102.94494709120717;102.97935984658996;102.97006691577485;102.95791788449017;102.97996391990073;102.98323173116587;104.07322697974011;96.65185196832603;97.00403775845145;103.65430306003621;109.99545086538305;113.91301897286849;103.0
102.94622236076054;102.97921366593067;102.96958019567967;102.95502680203569;102.97743473601078;102.97894053224937;104.02170864396867;96.39331248416153;96.63809589542707;103.42020035408481;107.92587693004707;111.19902232021488;103.0
102.94535414742495;102.97984755065818;102.96932118844335;102.95325755626416;102.9758690179527;102.9761145622142;103.99144742086513;96.22757038844782;96.39677291759155;103.2649052608618;106.43678002369501;109.19718208059217;103.0
102.94641446742392;102.97928556906845;102.97006856987542;102.95220748553697;102.97491060952963;102.97435204242531;103.9733778104959;96.1222864204406;96.2394005838428;103.1630488240948;105.37162697387772;107.72169871056528;103.0
102.94543052496446;102.97992011359372;102.96948806812455;102.95234219602571;102.97434139037072;102.97327064330489;103.9625146748843;96.05581042437042;96.13786625036684;103.09694962392291;104.6158491050493;106.63896781958539;103.0
102.94643085560348;102.97930368523816;102.97018529034423;102.95191728188681;102.97440512740154;102.97262570801496;103.95596240577407;96.01403631867903;96.0729367680526;103.05449962131974;104.08453789148888;105.85006109052269;103.0
102.94387649293294;102.9799233790608;102.96952911049172;102.95230386217256;102.9741808494853;102.97263886467279;103.95201668355107;95.9878897109635;96.03171471912184;103.02744480844979;103.71470932130022;105.28032449484064;103.0
102.94404251071087;102.97857392405278;102.9701958604876;102.95193377220617;102.97438266299093;102.97241861774029;103.95001445102868;95.9715869726364;96.00569890356327;103.01031895781763;103.45978422065967;104.87295984513732;103.0
102.94257883589444;102.97898117674806;102.96862307521691;102.95232051013636;102.9741892851883;102.97260073595851;103.9487870069286;95.9616259239556;95.98936360952192;102.99953492267996;103.28570760686775;104.58471990259974;103.0
102.94178638136424;102.97819518904126;102.9688802313095;102.95117950366838;102.9743915967909;102.97242400031432;103.94832991437066;95.95553666002806;95.9792272275685;102.99277780194123;103.16788060866128;104.3828947765572;103.0
102.93981026712902;102.97801531076895;102.96794336600847;102.95085908632305;102.9737897695491;102.9726099645854;103.94793190579007;95.95194628284132;95.97297743538768;102.9886134011357;103.08877901773904;104.24300792278854;103.0
102.9402848869784;102.97713225473274;102.96757106127257;102.94992034081776;102.97361192781872;102.97203056984024;103.94790189235215;95.94977109956447;95.96919662406518;102.98604510913357;103.03614964228423;104.14698654416509;103.0
102.94360585427425;102.97757043890554;102.96641364344092;102.94916560410279;102.9731121645975;102.9718104497202;103.94734690571192;95.94854859946373;95.96690789816992;102.98451259617988;103.00139653303361;104.08170327966467;103.0
