hidden neurons h2; msle; best sol idx
first hidden layer 55 neurons;;
second hidden layer 58 neurons;;
1;0.17304942806561788;80
2;0.1724492305843391;65
3;0.16176214802324476;80
4;0.1727109092088481;53
5;0.17211040807007558;61
6;0.15931567021863377;89
7;0.16950296251038413;83
8;0.1619975679697682;73
9;0.16901909133688134;107
10;0.16653232672321264;74
11;0.1652895737346725;64
12;0.17240637551196178;60
13;0.16974319047595732;72
14;0.16870155545016427;94
15;0.16759990864428714;75
16;0.17179206064091393;71
17;0.1697734689979411;77
18;0.16181178260501938;72
19;0.1680608191003847;65
20;0.16586828681070412;89
21;0.17029838935652775;76
22;0.16896605810419243;66
23;0.16700127264160422;65
24;0.17074410648488286;70
25;0.16523280450657232;99
26;0.17364221108493522;61
27;0.171101005486588;80
28;0.17017242887719947;65
29;0.17578431602141156;51
30;0.16719324860110213;69
31;0.1647560683945518;66
32;0.1718485402971951;68
33;0.16527128556177983;62
34;0.1686098100682396;76
35;0.1690509722155718;81
36;0.1722498407411338;69
37;0.1666481948165751;56
38;0.1673527133257235;53
39;0.16923845537859408;49
40;0.1729809268790098;84
41;0.16961164828853229;71
42;0.16604555278868224;59
43;0.1757647443321807;34
44;0.16588927247927557;101
45;0.17057908684460085;55
46;0.1617516020340706;78
47;0.17532422472884998;43
48;0.17291172530817156;66
49;0.1635758140045612;64
50;0.17111873763117624;49
51;0.1701976466089932;68
52;0.16351062404872174;65
53;0.17351894670754522;75
54;0.16187400011280875;67
55;0.1673464822235392;59
56;0.17174530170153623;70
57;0.16825472441182207;74
58;0.1649588309858569;78
59;0.16529538202938157;67
60;0.16557497276892116;70
61;0.1680962492429202;49
62;0.16649794892885197;64
63;0.16406844726842434;88
64;0.16543881571411492;96
65;0.16696363567416347;66
66;0.1670234825035826;50
67;0.17135705547546273;56
68;0.16595111532294335;96
69;0.16754593472575666;75
70;0.17392233402574833;91
71;0.17460265121056665;55
72;0.16531986205732052;68
73;0.17245856557615954;70
74;0.16675763613549038;70
75;0.169834802770496;56
76;0.16866332867845374;68
77;0.17195622950644043;100
78;0.16998596960928902;74
79;0.17064681105056212;57
80;0.16829125697339944;63
81;0.16772727755764824;64
82;0.16968065737491816;62
83;0.1654956347165416;68
84;0.159983264332387;113
85;0.1698276493828095;56
86;0.16516715971688134;68
87;0.17158742109637948;50
88;0.17111980569599872;70
89;0.17164889966967095;58
90;0.16778837120651605;108
91;0.1668240170721984;62
92;0.16472985232943918;74
93;0.16745175289277414;107
94;0.1642653227890309;79
95;0.1636727304897498;80
96;0.16630411108038318;73
97;0.16847971146972618;60
98;0.17016716600947118;49
99;0.17171546581076153;80
