i,j,delta,beta,priority,integral,max_delta,pi,L_x,v_x,w_x,q_max_x,rho_max_x,L_y,v_y,w_y,q_max_y,rho_max_y
1,2,480,0.06,0.05,429.963,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.07,0.05,377.117,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.08,0.05,325.512,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.09,0.05,275.341,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.1,0.05,226.333,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.11,0.05,178.789,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.12,0.05,132.872,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.13,0.05,87.8967,0.0611941,0.705271,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.14,0.05,44.3993,0.063214,0.695543,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.15,0.05,10.0998,0.0641103,0.691226,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.16,0.05,10.0655,0.0616225,0.703208,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.17,0.05,10.0456,0.06368,0.693298,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.18,0.05,10.021,0.063692,0.69324,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.19,0.05,9.99662,0.0654516,0.684766,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.2,0.05,9.96966,0.0656402,0.683858,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.01,0.05,498.931,0.207628,-2.51324e-09,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.02,0.05,492.524,0.207628,-6.95844e-08,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.03,0.05,486.293,0.207946,-0.00153012,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.04,0.05,480.23,0.209186,-0.00750237,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.05,0.05,472.6,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.06,0.05,425.418,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.07,0.05,372.877,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.08,0.05,321.577,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.09,0.05,271.709,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.1,0.05,223.003,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.11,0.05,175.747,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.12,0.05,129.579,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.13,0.05,85.5044,0.0589306,0.716173,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.14,0.05,43.2581,0.061665,0.703003,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.15,0.05,10.0759,0.0633881,0.694704,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.16,0.05,10.0556,0.0618426,0.702148,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.17,0.05,10.0326,0.0626418,0.698298,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.18,0.05,10.0102,0.0645082,0.689309,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.19,0.05,9.98878,0.0645854,0.688937,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,540,0.2,0.05,9.97219,0.0658544,0.682826,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.01,0.05,497.809,0.207628,1.01235e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.02,0.05,490.313,0.207627,8.34928e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.03,0.05,483.006,0.208003,-0.00180296,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.04,0.05,475.879,0.209289,-0.0079983,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.05,0.05,466.982,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.06,0.05,420.738,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.07,0.05,368.462,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.08,0.05,317.427,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.09,0.05,267.824,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.1,0.05,219.377,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.11,0.05,172.34,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.12,0.05,125.953,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.13,0.05,83.1409,0.0563008,0.728839,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.14,0.05,42.1278,0.060593,0.708166,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.15,0.05,10.0515,0.0604448,0.70888,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.16,0.05,10.0199,0.0612531,0.704987,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.17,0.05,10.0072,0.0615918,0.703355,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.18,0.05,9.98252,0.0640366,0.691581,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.19,0.05,9.95938,0.0658496,0.682849,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,600,0.2,0.05,9.93587,0.0651734,0.686105,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.01,0.05,496.726,0.207628,1.09696e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.02,0.05,488.13,0.207627,9.04711e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.03,0.05,479.717,0.208056,-0.00205822,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.04,0.05,471.493,0.209385,-0.00846228,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.05,0.05,461.396,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.06,0.05,415.909,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.07,0.05,363.867,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.08,0.05,313.068,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.09,0.05,263.7,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.1,0.05,215.476,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.11,0.05,168.488,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.12,0.05,122.373,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.13,0.05,80.8117,0.0527643,0.745871,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.14,0.05,41.0672,0.0576215,0.722478,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.15,0.05,10.0941,0.0584768,0.718358,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.16,0.05,10.0604,0.0605518,0.708365,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.17,0.05,10.0169,0.0618173,0.70227,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.18,0.05,9.99496,0.0626712,0.698157,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.19,0.05,9.97355,0.0645473,0.689121,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,660,0.2,0.05,9.94476,0.0648351,0.687735,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.01,0.05,495.496,0.207628,1.23999e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.02,0.05,485.686,0.207626,1.02267e-05,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.03,0.05,476.073,0.208133,-0.00242943,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.04,0.05,466.644,0.20947,-0.0088679,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.05,0.05,455.463,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.06,0.05,410.74,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.07,0.05,358.904,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.08,0.05,308.311,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.09,0.05,259.143,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.1,0.05,211.112,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.11,0.05,163.639,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.12,0.05,118.648,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.13,0.05,78.346,0.049391,0.762118,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.14,0.05,39.8438,0.0569946,0.725497,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.15,0.05,9.97642,0.0571132,0.724926,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.16,0.05,9.94515,0.0588242,0.716685,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.17,0.05,9.91528,0.0619558,0.701603,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.18,0.05,9.88345,0.0620029,0.701376,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.19,0.05,9.84976,0.0629111,0.697001,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,720,0.2,0.05,9.81711,0.0650313,0.68679,0.61,103,40,1933,67,0.23,103,37,1976,73
1,3,60,0.01,0.05,449.207,0.187706,0.0959528,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.02,0.05,895.072,0.64192,-2.09168,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.03,0.05,1500.51,0.70044,-2.37353,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.04,0.05,1601.52,0.710697,-2.42293,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.05,0.05,1651.95,0.717801,-2.45714,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.06,0.05,1743.46,0.697211,-2.35797,0.61,103,40,1933,67,0.34,103,33,1744,70
1,3,60,0.07,0.05,1736.47,0.676741,-2.25939,0.61,103,40,1933,67,0.34,103,33,1744,70
